ticker,permno,date,comnam,rtype,ptype,psub,caldt,ym,usdret,usdprc,market_equity,assets,sales,net_income,book_equity,debt_at,cash_at,ocf_at,roe,btm,beta,quarter,MORTGAGE30US
AAH,80838,1994-07-01,AMBASSADOR APARTMENTS INC,2.0,8.0,2.0,1994-09-30,1994m9,-0.0341,15.9375,142.78406,166.407,27.633,0.877,,0.9849345,0.017144712,0.028887006,,,,1994Q3,
AAIC,85653,2003-01-01,ARLINGTON ASSET INVESTMENT CORP,2.0,2.0,4.0,2003-03-31,2003m3,,9.05,1090.6246,499.114,270.737,51.874,234.624,0.3055875,0.18446288,0.052194487,-0.0686089870541953,0.2151280904004179,1.904923710632006,2003Q1,
AAT,12513,2011-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2011-01-31,2011m1,0.0127,21.29,745.8952,1103.713,203.295,6.212,120.292,0.8073104,0.038828935,0.0056282748,,0.1612719881195031,,2011Q1,
AAT,12513,2011-04-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2011-06-30,2011m6,0.0107,22.45,881.92584,1117.357,131.402,4.379,121.874,0.8008416,0.04177895,0.043268178,,0.1381907625584055,,2011Q2,
AAT,12513,2011-07-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2011-07-29,2011m7,-0.0205,21.99,863.85516,1652.482,141.385,-1.36,644.645,0.52050614,0.08442149,-0.0008230044,,0.7462420501716072,,2011Q3,
AAT,12513,2011-10-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2011-11-30,2011m11,0.0183,20.64,810.8217,1722.765,166.121,-1.414,637.445,0.5481183,0.0766541,-0.0008207736,,0.7861715689351189,,2011Q4,
AAT,12513,2012-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2012-01-31,2012m1,0.0795,22.14,869.74774,1724.761,188.091,-1.008,633.092,0.5472642,0.09368139,0.03628039,,0.7279029810430309,,2012Q1,
AAT,12513,2012-04-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2012-06-29,2012m6,0.0828,24.25,952.6855,1709.281,211.3,-0.538,626.031,0.5519742,0.08785799,0.03824064,0.0046595136662561,0.657122424828944,,2012Q2,
AAT,12513,2012-07-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2012-08-31,2012m8,0.0485,27.26,1071.1272,1722.471,220.187,2.372,620.468,0.56020796,0.07962804,0.03982302,0.0046595136662561,0.5792663920912524,0.8958563391605902,2012Q3,
AAT,12513,2012-10-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2012-12-31,2012m12,0.0334,27.93,1106.7821,1713.448,224.496,4.315,614.781,0.56292224,0.07811384,0.042019952,0.0046595136662561,0.5554670535173081,0.8916911076968825,2012Q4,
AAT,12513,2013-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2013-02-28,2013m2,0.046,30.23,1199.0427,1860.937,228.756,6.685,610.814,0.59382343,0.024271645,0.037043165,0.0046595136662561,0.5094180552602535,0.8508332306207593,2013Q1,
AAT,12513,2013-04-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2013-06-28,2013m6,-0.0351,30.86,1225.3889,1827.587,235.802,9.71,638.361,0.5716182,0.02730376,0.041554794,0.0555610383466408,0.5209456654722924,0.847046419066573,2013Q2,
AAT,12513,2013-07-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2013-09-30,2013m9,0.0375,30.51,1234.0074,1824.47,242.454,11.199,634.398,0.5724769,0.028926209,0.04555679,0.0555610383466408,0.5140957492186281,0.8637338444801808,2013Q3,
AAT,12513,2013-10-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2013-10-31,2013m10,0.0911,33.29,1346.4474,1836.759,249.198,12.708,655.364,0.56855524,0.039496742,0.04697187,0.0555610383466408,0.4867357060069837,0.8811688865651538,2013Q4,
AAT,12513,2014-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2014-03-31,2014m3,0.0269,33.74,1362.6912,1840.846,253.628,14.331,652.067,0.5671941,0.04116966,0.05162898,0.0555610383466408,0.4785141290087263,0.8087640218194015,2014Q1,
AAT,12513,2014-04-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2014-06-30,2014m6,0.0137,34.55,1448.8542,1832.443,255.205,15.756,648.744,0.5703719,0.03171231,0.050606757,0.0242956557406119,0.4477634783172203,0.7880002715037457,2014Q2,
AAT,12513,2014-07-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2014-07-31,2014m7,-0.0075,34.29,1461.2684,1878.958,257.018,17.058,686.687,0.56014985,0.04792763,0.05058921,0.0242956557406119,0.4699253220468485,0.7794794224544838,2014Q3,
AAT,12513,2014-10-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2014-10-31,2014m10,0.1629,38.34,1633.8591,1892.423,256.313,17.655,704.538,0.5563487,0.047359917,0.051465765,0.0242956557406119,0.4312109986240973,0.8077858762693492,2014Q4,
AAT,12513,2015-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2015-01-30,2015m1,0.1148,44.38,1935.6338,1938.66,258.328,19.812,738.456,0.5432567,0.055182446,0.05139684,0.0242956557406119,0.381506053845333,0.7579244687183976,2015Q1,
AAT,12513,2015-04-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2015-04-30,2015m4,-0.0804,39.8,1744.0758,1941.762,260.155,22.13,735.522,0.5473436,0.036230497,0.05438926,0.0242956557406119,0.4217259328651579,0.6537936911475616,2015Q2,
